MAC,A304(1),A304(2),A304(3),A304(4),A305(1),A305(2),A305(3),A305(4),A306(1),A306(2),A307(1),A307(2),A307(3),A307(4),A308(1),A308(2),A308(3),A308(4),A309(1),A309(2),A309(3),A309(4)
00:F6:63:14:DF:60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-87.57,-90.16,-90.76,-91.23,-95,-92,-93,-93,-100,-92,-94.89,-100
04:DA:D2:90:09:61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-89.89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
04:DA:D2:AA:5B:81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89.25,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
20:BB:C0:4B:94:01,-64.06,-58.51,-62.29,-58.47,-70.37,-77.03,-70.54,-72.34,-59.84,-57.58,-59.13,-57.21,-59.83,-60.02,-70.47,-69.33,-72.51,-70.68,-69.52,-75.33,-70.55,-70.45
20:BB:C0:4B:97:C1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-100,-100,-100
20:BB:C0:4B:9E:C1,-100,-92,-100,-92,-83.66,-87.97,-85.23,-84.94,-83.64,-84.12,-74.78,-80.21,-79.92,-77.22,-85.23,-86.7,-87.16,-87.57,-91,-100,-100,-100
20:BB:C0:4B:9F:81,-89.55,-89.47,-89.89,-89,-88.55,-86.79,-87,-90.48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
20:BB:C0:4B:A2:31,-100,-90.23,-88,-90,-91,-88,-88.32,-88.22,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
20:BB:C0:4B:D7:21,-95,-100,-92.36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
20:BB:C0:4B:E5:C1,-90,-91,-100,-92.47,-90.89,-90.89,-91,-90.25,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
50:06:04:5B:1E:D1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-87,-100,-91
50:06:04:5B:44:E1,-91,-100,-93,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
50:06:04:5B:45:E1,-90.97,-92.36,-92,-93.48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-94,-100,-96,-90.57,-88.64,-90.57,-86.94
50:06:04:66:71:F1,-56.46,-55.39,-58.2,-58.22,-74.74,-75.67,-75.36,-73.46,-70.99,-67.83,-68.12,-72.27,-72.69,-71.21,-77.59,-77.26,-81.2,-74.95,-69.77,-73.3,-71.55,-69.52
50:06:04:66:72:11,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100
50:06:04:66:74:01,-100,-91,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
50:06:04:66:8B:51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100
50:06:04:66:8C:D1,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-90,-100,-100,-100
50:06:04:66:91:D1,-69.84,-75.57,-69.23,-73.32,-70.74,-73.16,-74.25,-73.91,-86.31,-83.74,-86.72,-85.79,-85.42,-83.54,-76.76,-80.75,-77.84,-73.63,-69.9,-69.68,-74.58,-67.28
50:2F:A8:F2:14:90,-100,-100,-100,-100,-100,-100,-100,-100,-89.89,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
90:77:EE:68:03:C0,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
CC:16:7E:13:20:80,-100,-90,-100,-94,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
CC:16:7E:15:F0:D0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88.23,-88.94,-90.25,-89.36,-100,-100,-100,-91,-100,-100,-100,-100
CC:16:7E:15:F2:B0,-90,-100,-91.47,-100,-100,-89.47,-92,-94.89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
